;dd.mm.yy. HH:MM;kW
;DATE_2016;2016
1;1.1.16. 0:00;12,8
2;1.1.16. 0:15;13
3;1.1.16. 0:30;12,8
4;1.1.16. 0:45;13,2
5;1.1.16. 1:00;13,4
6;1.1.16. 1:15;13,2
7;1.1.16. 1:30;13
8;1.1.16. 1:45;13
9;1.1.16. 2:00;13
10;1.1.16. 2:15;13
11;1.1.16. 2:30;13,2
12;1.1.16. 2:45;13,2
13;1.1.16. 3:00;13
14;1.1.16. 3:15;13
15;1.1.16. 3:30;13
16;1.1.16. 3:45;13,2
17;1.1.16. 4:00;13
18;1.1.16. 4:15;13
19;1.1.16. 4:30;13,2
20;1.1.16. 4:45;13
21;1.1.16. 5:00;13
22;1.1.16. 5:15;13
23;1.1.16. 5:30;13,2
24;1.1.16. 5:45;13
25;1.1.16. 6:00;13
26;1.1.16. 6:15;13
27;1.1.16. 6:30;13
28;1.1.16. 6:45;13
29;1.1.16. 7:00;14
30;1.1.16. 7:15;15
31;1.1.16. 7:30;14,6
32;1.1.16. 7:45;13,4
33;1.1.16. 8:00;13,6
34;1.1.16. 8:15;12,8
35;1.1.16. 8:30;13,2
36;1.1.16. 8:45;13
37;1.1.16. 9:00;12,4
38;1.1.16. 9:15;13
39;1.1.16. 9:30;12,4
40;1.1.16. 9:45;12,8
41;1.1.16. 10:00;12,2
42;1.1.16. 10:15;12,2
43;1.1.16. 10:30;12,4
44;1.1.16. 10:45;12,4
45;1.1.16. 11:00;12,2
46;1.1.16. 11:15;12
47;1.1.16. 11:30;12,2
48;1.1.16. 11:45;12,4
49;1.1.16. 12:00;12,4
50;1.1.16. 12:15;12,6
51;1.1.16. 12:30;12,2
52;1.1.16. 12:45;12,4
53;1.1.16. 13:00;12,4
54;1.1.16. 13:15;12,4
55;1.1.16. 13:30;12,4
56;1.1.16. 13:45;12,2
57;1.1.16. 14:00;12,6
58;1.1.16. 14:15;12,4
59;1.1.16. 14:30;12,2
60;1.1.16. 14:45;12,2
61;1.1.16. 15:00;12,2
62;1.1.16. 15:15;12,4
63;1.1.16. 15:30;12,2
64;1.1.16. 15:45;12,6
65;1.1.16. 16:00;12,4
66;1.1.16. 16:15;12,4
67;1.1.16. 16:30;12,4
68;1.1.16. 16:45;12,8
69;1.1.16. 17:00;13,4
70;1.1.16. 17:15;13,6
71;1.1.16. 17:30;13,8
72;1.1.16. 17:45;13,6
73;1.1.16. 18:00;13,6
74;1.1.16. 18:15;13,6
75;1.1.16. 18:30;13,8
76;1.1.16. 18:45;14,4
77;1.1.16. 19:00;14,6
78;1.1.16. 19:15;14,4
79;1.1.16. 19:30;14,6
80;1.1.16. 19:45;14,6
81;1.1.16. 20:00;14,8
82;1.1.16. 20:15;14
83;1.1.16. 20:30;14
84;1.1.16. 20:45;13,4
85;1.1.16. 21:00;13,4
86;1.1.16. 21:15;13,4
87;1.1.16. 21:30;13,2
88;1.1.16. 21:45;13
89;1.1.16. 22:00;13
90;1.1.16. 22:15;13
91;1.1.16. 22:30;13
92;1.1.16. 22:45;13
93;1.1.16. 23:00;13,2
94;1.1.16. 23:15;13,2
95;1.1.16. 23:30;13
96;1.1.16. 23:45;13
97;2.1.16. 0:00;13
