;p.u.
;PV
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0,000975
27;0,00195
28;0,002925
29;0,0039
30;0,016325
31;0,02875
32;0,041175
33;0,0536
34;0,077425
35;0,10125
36;0,125075
37;0,1489
38;0,186358333
39;0,223816667
40;0,261275
41;0,298733333
42;0,311041667
43;0,32335
44;0,335658333
45;0,347966667
46;0,345975
47;0,343983333
48;0,341991667
49;0,34
50;0,331166667
51;0,322333333
52;0,3135
53;0,304666667
54;0,273266667
55;0,241866667
56;0,210466667
57;0,179066667
58;0,147041667
59;0,115016667
60;0,082991667
61;0,050966667
62;0,041008333
63;0,03105
64;0,021091667
65;0,011133333
66;0,00835
67;0,005566667
68;0,002783333
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0,000966667
123;0,001933333
124;0,0029
125;0,003866667
126;0,01335
127;0,022833333
128;0,032316667
129;0,0418
130;0,054508333
131;0,067216667
132;0,079925
133;0,092633333
134;0,080108333
135;0,067583333
136;0,055058333
137;0,042533333
138;0,035591667
139;0,02865
140;0,021708333
141;0,014766667
142;0,016433333
143;0,0181
144;0,019766667
145;0,021433333
146;0,0384
147;0,055366667
148;0,072333333
149;0,0893
150;0,0735
151;0,0577
152;0,0419
153;0,0261
154;0,02155
155;0,017
156;0,01245
157;0,0079
158;0,005925
159;0,00395
160;0,001975
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0,002241667
219;0,004483333
220;0,006725
221;0,008966667
222;0,014641667
223;0,020316667
224;0,025991667
225;0,031666667
226;0,0584
227;0,085133333
228;0,111866667
229;0,1386
230;0,226175
231;0,31375
232;0,401325
233;0,4889
234;0,450433333
235;0,411966667
236;0,3735
237;0,335033333
238;0,280741667
239;0,22645
240;0,172158333
241;0,117866667
242;0,126033333
243;0,1342
244;0,142366667
245;0,150533333
246;0,1382
247;0,125866667
248;0,113533333
249;0,1012
250;0,080075
251;0,05895
252;0,037825
253;0,0167
254;0,012858333
255;0,009016667
256;0,005175
257;0,001333333
258;0,001
259;0,000666667
260;0,000333333
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0
274;0
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0
298;0
299;0
300;0
301;0
302;0
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0,000758333
315;0,001516667
316;0,002275
317;0,003033333
318;0,009233333
319;0,015433333
320;0,021633333
321;0,027833333
322;0,057958333
323;0,088083333
324;0,118208333
325;0,148333333
326;0,164208333
327;0,180083333
328;0,195958333
329;0,211833333
330;0,18385
331;0,155866667
332;0,127883333
333;0,0999
334;0,076491667
335;0,053083333
336;0,029675
337;0,006266667
338;0,016208333
339;0,02615
340;0,036091667
341;0,046033333
342;0,056983333
343;0,067933333
344;0,078883333
345;0,089833333
346;0,097708333
347;0,105583333
348;0,113458333
349;0,121333333
350;0,093133333
351;0,064933333
352;0,036733333
353;0,008533333
354;0,0064
355;0,004266667
356;0,002133333
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0,001066667
411;0,002133333
412;0,0032
413;0,004266667
414;0,011266667
415;0,018266667
416;0,025266667
417;0,032266667
418;0,050875
419;0,069483333
420;0,088091667
421;0,1067
422;0,108516667
423;0,110333333
424;0,11215
425;0,113966667
426;0,112558333
427;0,11115
428;0,109741667
429;0,108333333
430;0,112716667
431;0,1171
432;0,121483333
433;0,125866667
434;0,116158333
435;0,10645
436;0,096741667
437;0,087033333
438;0,073216667
439;0,0594
440;0,045583333
441;0,031766667
442;0,027308333
443;0,02285
444;0,018391667
445;0,013933333
446;0,01045
447;0,006966667
448;0,003483333
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0,000483333
507;0,000966667
508;0,00145
509;0,001933333
510;0,008391667
511;0,01485
512;0,021308333
513;0,027766667
514;0,044008333
515;0,06025
516;0,076491667
517;0,092733333
518;0,089591667
519;0,08645
520;0,083308333
521;0,080166667
522;0,0826
523;0,085033333
524;0,087466667
525;0,0899
526;0,156891667
527;0,223883333
528;0,290875
529;0,357866667
530;0,314458333
531;0,27105
532;0,227641667
533;0,184233333
534;0,155425
535;0,126616667
536;0,097808333
537;0,069
538;0,052133333
539;0,035266667
540;0,0184
541;0,001533333
542;0,00115
543;0,000766667
544;0,000383333
545;0
546;0
547;0
548;0
549;0
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0
586;0
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0,001616667
603;0,003233333
604;0,00485
605;0,006466667
606;0,015425
607;0,024383333
608;0,033341667
609;0,0423
610;0,050891667
611;0,059483333
612;0,068075
613;0,076666667
614;0,1164
615;0,156133333
616;0,195866667
617;0,2356
618;0,217808333
619;0,200016667
620;0,182225
621;0,164433333
622;0,159975
623;0,155516667
624;0,151058333
625;0,1466
626;0,138741667
627;0,130883333
628;0,123025
629;0,115166667
630;0,110658333
631;0,10615
632;0,101641667
633;0,097133333
634;0,085008333
635;0,072883333
636;0,060758333
637;0,048633333
638;0,037658333
639;0,026683333
640;0,015708333
641;0,004733333
642;0,00355
643;0,002366667
644;0,001183333
645;0
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0
654;0
655;0
656;0
657;0
658;0
659;0
660;0
661;0
662;0
663;0
664;0
665;0
